Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'dino_model': 'vit_small_patch16_dinov3', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 17, 'backbone_tag': 'dino_s16', 'run_name': 'dino_s16_2000C_5pct_seed17', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading DINOv3 backbone (vit_small_patch16_dinov3)...
DINOv3 image feature dim: 384
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1981: 3.6269
Client 940: 3.7180
Client 1539: 3.4882
Client 447: 3.4127
Client 469: 3.4303
Client 989: 3.6484
Client 651: 3.9133
Client 1678: 3.4923
Client 386: 3.7541
Client 1986: 3.9561
Client 745: 3.5393
Client 1225: 3.9663
Client 58: 4.0421
Client 1969: 3.1250
Client 1524: 3.6107
Client 1183: 3.9777
Client 1163: 3.6737
Client 1063: 4.0788
Client 865: 3.8255
Client 109: 3.6279
Client 1829: 3.6514
Client 1704: 3.5609
Client 673: 3.6967
Client 1975: 3.8778
Client 1184: 3.5872
Client 346: 3.3766
Client 1904: 3.9359
Client 1138: 4.3938
Client 473: 4.3093
Client 1255: 3.7737
Client 641: 3.9110
Client 753: 3.4750
Client 352: 3.5412
Client 1991: 3.5402
Client 1545: 3.9829
Client 432: 4.1121
Client 621: 3.9654
Client 888: 4.1584
Client 728: 4.0435
Client 919: 3.2297
Client 1211: 3.8475
Client 191: 3.7263
Client 1062: 3.7555
Client 216: 3.8503
Client 1071: 3.5343
Client 21: 4.1342
Client 393: 3.4811
Client 1929: 4.0214
Client 1179: 3.8276
Client 1840: 3.5456
Client 1441: 3.0087
Client 1133: 3.7459
Client 1566: 4.3681
Client 366: 3.6634
Client 920: 3.7220
Client 949: 4.0757
Client 912: 3.8069
Client 1752: 3.0691
Client 1032: 3.8983
Client 280: 3.7742
Client 1098: 3.6770
