Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'clip_model': 'ViT-B-16-quickgelu', 'clip_pretrained': 'openai', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.01, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 27, 'backbone_tag': 'clip_b16', 'run_name': 'clip_b16_2000C_1pct_seed27', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading CLIP backbone (ViT-B-16-quickgelu, pretrained=openai)...
CLIP feature dim (mean-pool all 197 tokens, pre-proj): 768
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1802: 3.6487
Client 128: 3.4060
Client 706: 3.8502
Client 86: 3.8522
Client 375: 3.9628
Client 1744: 3.8853
Client 160: 4.2621
Client 603: 3.8587
Round avg loss: 3.8242 (Best: 3.7334)

--- Round 11/20 ---
Client 476: 4.3330
Client 281: 3.4339
Client 1945: 3.5722
Client 946: 3.9585
Client 1238: 2.6637
Client 1688: 3.3598
Client 977: 4.1769
Client 209: 3.8307
Client 1218: 4.1133
Client 754: 3.8056
Client 1752: 3.8211
Client 574: 3.8063
Client 62: 4.1165
Client 1349: 3.2467
Client 1005: 3.6340
Client 330: 3.7619
Client 639: 4.3573
Client 1095: 3.4290
Client 957: 3.6573
Client 437: 3.6997
Round avg loss: 3.7389 (Best: 3.7334)

--- Round 12/20 ---
Client 1702: 3.4654
Client 895: 3.6759
Client 1647: 3.4419
Client 622: 4.0597
Client 1372: 4.3717
Client 416: 3.7332
Client 1043: 3.6884
Client 1673: 3.9525
Client 1659: 4.0044
Client 307: 3.4575
Client 1471: 3.7463
Client 1465: 3.6882
Client 680: 3.7009
Client 1164: 3.9711
Client 1416: 3.9767
Client 118: 4.4292
Client 1845: 3.8892
Client 464: 3.5794
Client 255: 3.6257
Client 961: 3.9754
Round avg loss: 3.8217 (Best: 3.7334)

--- Round 13/20 ---
Client 1245: 4.0571
Client 1260: 3.9774
Client 1432: 4.0746
Client 162: 3.5969
Client 499: 3.9875
Client 888: 3.7497
Client 651: 3.4980
Client 627: 3.2690
Client 89: 3.8913
Client 258: 4.3691
Client 211: 3.6904
Client 820: 4.0056
Client 1821: 3.5945
Client 177: 4.2783
Client 766: 3.7440
Client 1884: 3.8650
Client 418: 3.7662
Client 339: 4.0083
Client 1543: 4.0616
Client 1117: 3.6890
Round avg loss: 3.8587 (Best: 3.7334)

--- Round 14/20 ---
Client 1508: 3.9407
Client 1453: 3.4411
Client 1958: 4.1328
Client 41: 3.9997
Client 383: 3.8771
Client 1927: 3.7151
Client 909: 3.8116
Client 1883: 4.2382
Client 103: 3.4334
Client 1188: 3.9831
Client 1223: 4.1182
Client 1067: 4.2817
Client 1676: 4.2550
Client 1742: 3.5892
Client 1232: 4.1521
Client 454: 4.6684
Client 574: 3.6744
Client 1904: 4.0837
Client 1106: 3.6274
Client 415: 3.4624
