Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'dino_model': 'vit_base_patch16_dinov3', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 17, 'backbone_tag': 'dino_b16', 'run_name': 'dino_b16_2000C_5pct_seed17', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading DINOv3 backbone (vit_base_patch16_dinov3)...
DINOv3 image feature dim: 768
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1981: 3.5530
Client 940: 3.6057
Client 1539: 3.4106
Client 447: 3.3308
Client 469: 3.4177
Client 989: 3.5195
Client 651: 3.8154
Client 1678: 3.4091
Client 386: 3.6671
Client 1986: 3.8548
Client 745: 3.4485
Client 1225: 3.8738
Client 58: 3.9705
Client 1969: 3.0317
Client 1524: 3.5609
Client 1183: 3.8850
Client 1163: 3.6044
Client 1063: 4.0232
Client 865: 3.7493
Client 109: 3.5604
Client 1829: 3.5995
Client 1704: 3.4729
Client 673: 3.5995
Client 1975: 3.7667
Client 1184: 3.4725
Client 346: 3.3295
Client 1904: 3.8615
Client 1138: 4.2892
Client 473: 4.2123
Client 1255: 3.6579
Client 641: 3.8479
Client 753: 3.3866
Client 352: 3.3972
Client 1991: 3.4722
Client 1545: 3.8546
Client 432: 4.0073
Client 621: 3.8355
Client 888: 4.0707
Client 728: 3.9343
Client 919: 3.1136
Client 1211: 3.7558
Client 191: 3.6469
Client 1062: 3.6736
Client 216: 3.7848
Client 1071: 3.4414
Client 21: 4.0489
Client 393: 3.4259
Client 1929: 3.9422
Client 1179: 3.7182
Client 1840: 3.4462
Client 1441: 2.9504
Client 1133: 3.6164
Client 1566: 4.3098
Client 366: 3.6070
Client 920: 3.6305
Client 949: 4.0146
Client 912: 3.7319
Client 1752: 2.9984
Client 1032: 3.8513
Client 280: 3.6852
Client 1098: 3.5670
Client 1125: 3.2878
Client 972: 3.2184
Client 927: 3.4422
Client 24: 3.4574
Client 602: 3.1712
Client 539: 3.6216
Client 376: 3.3265
Client 16: 3.2210
Client 1692: 3.5223
Client 1846: 2.6801
Client 957: 3.3111
Client 690: 3.4651
Client 1540: 3.5287
Client 106: 3.5272
Client 547: 3.3674
Client 201: 3.8998
Client 1060: 3.8489
Client 1366: 3.5257
Client 1432: 3.8518
Client 31: 3.2713
Client 56: 3.0614
Client 231: 3.3663
Round avg loss: 3.5829 (Best: 3.5810)

--- Round 4/20 ---
Client 966: 3.5958
Client 1454: 3.7981
Client 1855: 3.5636
Client 617: 3.5212
Client 1253: 3.5944
Client 417: 3.4033
Client 1597: 3.5354
Client 202: 4.1471
Client 1593: 3.4900
Client 1860: 3.9042
Client 1679: 3.5439
Client 1714: 3.5872
Client 53: 3.7276
Client 932: 3.0332
Client 1098: 3.2620
Client 1681: 3.3840
Client 1555: 3.3986
Client 1892: 3.8756
Client 454: 3.8653
Client 1776: 3.7251
Client 1329: 3.8867
Client 61: 3.5410
Client 1741: 3.7327
Client 819: 3.6514
Client 1626: 4.0401
Client 251: 3.1675
Client 876: 3.7648
Client 1957: 3.3741
Client 119: 3.7935
Client 1512: 3.1394
Client 1104: 3.6309
Client 122: 3.0420
Client 385: 3.5223
Client 1995: 3.5695
Client 1103: 3.5520
Client 537: 3.7153
Client 551: 3.7539
Client 730: 3.7549
Client 711: 3.8777
Client 1925: 3.7418
Client 1113: 3.6056
Client 1190: 3.2137
Client 1678: 3.1728
Client 1997: 2.6831
Client 853: 3.4789
Client 830: 3.1918
Client 1869: 3.5575
Client 15: 3.4712
Client 1076: 3.5848
Client 1536: 3.9106
Client 694: 3.1433
Client 165: 3.8142
Client 1551: 3.6813
Client 1534: 3.1126
Client 1701: 3.7231
Client 68: 3.0830
Client 1282: 4.0938
Client 1496: 3.9806
Client 1771: 3.5392
Client 583: 3.9886
Client 666: 3.6859
Client 658: 3.3484
Client 240: 4.1453
Client 684: 3.7049
Client 260: 3.5779
Client 1102: 3.7934
Client 498: 3.6385
Client 1891: 3.6551
Client 1012: 3.2979
Client 1683: 3.6339
Client 580: 3.6078
Client 906: 3.5837
Client 255: 3.6945
Client 522: 3.9471
Client 511: 3.3430
Client 150: 3.7320
Client 1394: 3.7728
Client 861: 3.1973
Client 635: 2.7637
Client 1402: 3.6868
Client 410: 3.6382
Client 988: 3.5234
Client 748: 3.8283
Client 262: 3.6574
Client 437: 3.2031
Client 1033: 3.5898
Client 1996: 4.1016
Client 1612: 3.4030
Client 1171: 3.4849
Client 310: 3.1034
Client 1606: 3.5329
Client 601: 3.7693
Client 170: 3.9461
Client 892: 3.3812
Client 896: 3.5771
Client 1081: 3.8212
Client 1837: 4.1148
Client 795: 3.8045
Client 1599: 3.9718
Client 1071: 3.1870
Round avg loss: 3.5869 (Best: 3.5810)

--- Round 5/20 ---
Client 1237: 3.3346
Client 1556: 3.9439
Client 1843: 3.1476
Client 315: 3.8740
Client 1358: 3.6856
Client 1145: 3.8418
Client 292: 3.5721
Client 336: 3.1148
Client 1201: 3.7522
Client 1095: 2.9239
Client 1916: 3.7986
Client 649: 3.5660
Client 1010: 3.7211
Client 1644: 3.8139
Client 1788: 3.3930
Client 1804: 3.5434
Client 576: 3.7836
Client 1959: 3.1888
Client 1910: 3.6086
Client 833: 3.3813
Client 134: 3.7011
Client 1263: 3.9350
Client 483: 3.5621
Client 345: 3.7186
Client 1847: 3.5446
Client 1457: 3.7202
Client 309: 3.5027
Client 1593: 3.2060
Client 482: 3.9330
Client 874: 3.0471
Client 1120: 3.5794
Client 658: 3.1013
Client 1106: 3.2681
Client 1552: 3.5853
Client 907: 3.4565
Client 1536: 3.6182
Client 1027: 3.4601
Client 1636: 4.1225
Client 263: 3.4678
Client 591: 3.8389
Client 1922: 3.5493
Client 496: 3.5105
Client 1015: 3.6854
Client 513: 3.8376
Client 1028: 3.9849
Client 391: 3.5179
Client 762: 3.6506
Client 14: 3.6467
Client 1301: 3.7626
Client 250: 3.6500
Client 686: 3.6037
Client 1009: 3.5073
Client 157: 2.9279
Client 881: 4.2306
Client 177: 3.6039
Client 1822: 3.2429
Client 1055: 3.6026
Client 774: 3.8529
Client 499: 3.4873
Client 348: 3.8987
Client 144: 3.8733
Client 1906: 3.4997
Client 607: 3.3926
Client 149: 3.2860
Client 590: 3.4030
Client 695: 4.0035
Client 1857: 3.0516
Client 1563: 3.4763
Client 947: 3.5316
Client 304: 3.4609
Client 1974: 3.7267
Client 306: 3.4248
Client 1522: 3.4603
Client 544: 3.1984
Client 631: 3.6236
Client 785: 3.8435
Client 1768: 3.8681
Client 666: 3.4494
Client 1887: 3.5489
Client 1177: 3.2672
Client 1052: 3.5831
Client 1294: 3.4873
Client 293: 3.6883
Client 893: 3.7264
Client 213: 3.5980
