Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'dino_model': 'vit_small_patch16_dinov3', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 1, 'backbone_tag': 'dino_s16', 'run_name': 'dino_s16_2000C_5pct_seed1', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading DINOv3 backbone (vit_small_patch16_dinov3)...
DINOv3 image feature dim: 384
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 275: 3.4309
Client 1165: 3.5829
Client 1735: 3.2396
Client 1643: 3.9337
Client 1564: 4.1031
Client 129: 3.6763
Client 522: 3.9258
Client 241: 3.9646
Client 1014: 3.6912
Client 1558: 3.7413
Client 920: 4.0654
Client 967: 3.6621
Client 1334: 3.5092
Client 777: 4.1680
Client 1615: 4.0008
Client 429: 3.5963
Client 192: 3.8956
Client 999: 3.6223
Client 58: 3.3414
Client 1829: 3.5239
Client 1711: 4.2100
Client 798: 3.7018
Client 886: 3.4652
Client 1244: 3.8238
Client 1561: 3.0570
Client 1571: 3.6548
Client 4: 3.0305
Client 1425: 3.6984
Client 912: 3.3522
Client 545: 3.5473
Client 1477: 4.0603
Client 1642: 3.5982
Client 468: 4.0051
Client 1210: 3.7104
Client 1935: 3.9236
Client 209: 3.4154
Client 1846: 3.5255
Client 650: 4.0639
Client 62: 3.8081
Client 45: 4.0662
Client 52: 3.9782
Client 1330: 3.7235
Client 1108: 3.2453
Client 18: 3.6897
Client 1923: 3.3255
Client 1804: 4.4684
Client 780: 3.9546
Client 1405: 4.1293
Client 443: 2.9492
Client 1984: 3.0767
Client 864: 3.5819
Client 1486: 3.0982
Client 59: 3.8312
Client 1080: 3.7523
Client 454: 3.5321
Client 896: 3.6106
Client 1015: 3.6665
Client 1132: 3.8210
Client 477: 3.5020
Client 707: 3.7670
Client 472: 3.6347
Client 1386: 3.7697
Client 448: 3.4536
Client 941: 4.0002
Client 1950: 3.5253
Client 593: 3.6369
Client 1897: 3.9900
Client 44: 3.8675
Client 852: 3.8423
Client 1715: 4.0755
Client 1876: 3.9725
Client 1139: 3.7297
Client 1888: 4.2035
Client 1315: 3.6278
Client 204: 4.3326
Client 380: 3.5661
Client 1288: 3.9568
Client 1482: 3.8356
Client 1761: 3.5885
Client 607: 3.6196
Client 247: 3.9120
Client 1521: 3.6048
Client 681: 3.7804
Client 1834: 4.2182
Client 1993: 3.6680
Client 1456: 3.3609
Client 1025: 4.1416
Client 1917: 3.3456
Client 1980: 3.4341
Client 1039: 3.7285
Client 1699: 4.1589
Client 1864: 3.5387
Client 1372: 3.4471
Client 388: 3.7370
Client 621: 3.8687
Client 581: 3.7423
Client 1203: 3.3665
Client 1807: 3.6085
Client 1022: 3.8831
Client 1733: 3.5851
Round avg loss: 3.7145 (Best: 3.7145)

--- Round 2/20 ---
Client 1926: 4.0258
Client 1034: 3.7229
Client 805: 3.8496
Client 1206: 3.6780
Client 1747: 3.5029
Client 70: 3.9394
Client 983: 3.5568
Client 497: 3.2472
Client 1523: 2.8622
Client 1633: 3.5841
Client 827: 3.9902
Client 848: 4.0053
Client 1361: 3.7664
Client 354: 3.6830
Client 751: 3.7634
Client 1123: 3.5451
Client 1807: 3.4097
Client 1439: 3.7599
Client 1588: 3.1530
Client 1381: 3.6033
Client 1511: 3.8774
Client 767: 3.9652
Client 177: 3.3687
Client 898: 3.2295
Client 1359: 3.6025
Client 1041: 3.5064
Client 221: 3.3588
Client 1594: 3.7924
Client 335: 3.6700
Client 1066: 3.5327
Client 1720: 3.4342
Client 758: 4.2152
Client 1002: 3.7211
Client 1500: 3.1990
Client 60: 3.2419
Client 961: 3.3765
Client 89: 3.9562
Client 631: 3.4847
Client 1440: 3.4228
Client 1737: 3.7991
Client 1259: 3.5204
Client 1214: 3.8449
Client 1184: 3.6195
Client 806: 3.3983
Client 1325: 3.5781
Client 348: 3.5890
Client 345: 3.4896
Client 1028: 3.2495
Client 464: 4.2044
Client 25: 3.1690
Client 1578: 3.6662
Client 408: 3.4035
Client 1105: 3.6902
Client 1884: 3.8376
Client 1761: 3.3604
Client 1122: 3.9054
Client 475: 3.2712
Client 828: 3.3146
Client 1052: 3.6866
Client 704: 3.4634
Client 1950: 3.3369
Client 1735: 3.0376
Client 1183: 3.8674
Client 723: 3.7953
Client 940: 3.9212
Client 1863: 3.7348
Client 551: 3.8029
Client 1350: 3.6640
Client 1247: 3.3052
Client 1960: 3.7656
Client 1493: 3.8352
Client 11: 3.7118
Client 785: 3.6445
Client 1604: 4.2846
Client 1755: 3.7415
Client 1680: 3.6917
Client 1955: 3.7002
Client 1814: 3.9485
Client 1921: 3.9504
Client 1516: 3.6037
Client 1049: 3.1323
Client 1657: 3.4841
Client 264: 4.1122
Client 1062: 3.6916
Client 1592: 3.7220
Client 1149: 3.2284
Client 420: 3.6961
Client 872: 3.6082
Client 1945: 3.6658
Client 114: 3.5103
Client 985: 3.0678
Client 1781: 3.9101
Client 746: 3.4438
Client 1167: 3.7503
Client 1135: 3.7544
Client 409: 3.2266
Client 1927: 3.4379
Client 1033: 3.2729
Client 846: 3.4576
Client 993: 3.7497
Round avg loss: 3.6093 (Best: 3.6093)

--- Round 3/20 ---
Client 1665: 3.9555
Client 730: 3.7445
Client 848: 3.7535
Client 708: 4.2273
Client 3: 3.2080
Client 1102: 3.3714
Client 1106: 3.8810
Client 1276: 3.7383
Client 1610: 3.2945
Client 1254: 3.7470
Client 678: 3.3566
Client 938: 3.6693
Client 1228: 3.3600
Client 57: 3.6988
Client 1647: 3.7660
Client 470: 2.9390
Client 1301: 3.7388
Client 362: 3.3396
Client 1127: 3.5282
Client 1196: 3.2863
Client 370: 3.1795
Client 1763: 3.7769
Client 187: 3.5175
Client 1635: 3.7857
Client 1128: 4.3117
Client 1632: 3.5833
Client 1743: 3.5816
Client 1672: 3.5317
Client 1906: 3.5455
Client 522: 3.7071
Client 66: 3.2229
Client 1723: 3.7127
Client 1932: 3.5622
Client 1378: 3.2017
Client 144: 3.3792
Client 170: 4.3008
Client 1777: 4.0796
Client 34: 3.6241
Client 927: 3.4456
Client 29: 3.3728
Client 1544: 3.7860
Client 1547: 4.2120
Client 575: 4.0602
Client 511: 3.5069
Client 550: 3.6411
Client 224: 3.6852
Client 1279: 3.4124
Client 378: 3.8860
Client 705: 3.8124
Client 594: 3.4132
Client 142: 3.9295
Client 342: 4.0731
Client 326: 3.6416
Client 1080: 3.5178
Client 1949: 3.9660
Client 344: 3.5675
Client 1344: 3.4982
Client 558: 3.6181
Client 1327: 3.4532
Client 1457: 3.5371
Client 603: 3.6490
Client 931: 3.6436
Client 1438: 3.7817
Client 659: 3.6803
Client 1016: 3.3899
Client 970: 3.6890
Client 233: 3.5216
Client 48: 3.9524
Client 638: 4.1712
Client 791: 4.0046
Client 703: 3.1950
Client 862: 3.6165
Client 1630: 3.4364
Client 385: 3.9070
Client 529: 3.5770
Client 222: 3.4469
Client 519: 3.5025
Client 1842: 3.2518
Client 1495: 3.5796
Client 1044: 3.5830
Client 428: 4.1461
Client 1977: 3.7258
Client 1240: 3.7610
Client 884: 3.4327
Client 1673: 3.9532
Client 1997: 2.6371
Client 42: 3.4990
Client 461: 3.7717
Client 36: 3.3489
Client 813: 3.9379
Client 299: 3.7261
Client 72: 3.5440
Client 1472: 3.7515
Client 1965: 4.1357
Client 328: 3.8596
Client 912: 3.1507
Client 1443: 3.5484
Client 1036: 3.6119
Client 1388: 3.8595
Client 873: 3.5569
Round avg loss: 3.6378 (Best: 3.6093)

--- Round 4/20 ---
Client 1115: 3.6653
Client 1704: 3.5909
Client 451: 3.6450
Client 1998: 2.8809
Client 1291: 3.2767
Client 1633: 3.3434
Client 1423: 3.4183
Client 1057: 3.6613
Client 923: 3.8923
Client 457: 4.2192
Client 1072: 3.7832
Client 1328: 3.2249
Client 62: 3.6282
Client 808: 4.0451
Client 1382: 4.1472
Client 1179: 3.0095
Client 1645: 3.5577
Client 657: 3.7324
Client 1351: 3.8133
Client 1292: 3.5374
Client 873: 3.3776
Client 120: 3.0163
Client 1510: 3.8009
Client 611: 3.8116
Client 257: 3.9571
Client 1982: 3.6583
Client 434: 3.1601
Client 1793: 3.3880
Client 97: 3.7456
Client 627: 3.9490
Client 144: 3.1486
Client 1758: 4.0590
Client 156: 3.9837
Client 635: 3.8601
Client 1878: 3.6989
Client 1923: 3.0688
Client 610: 3.8530
Client 1523: 2.6067
Client 324: 3.8020
Client 852: 3.6310
Client 1156: 3.7565
Client 516: 3.9478
Client 267: 3.1649
Client 17: 3.3314
Client 1148: 3.4053
Client 1799: 3.8774
Client 1741: 3.8730
Client 77: 3.2863
Client 1209: 3.2856
Client 1678: 3.8834
Client 445: 3.6383
Client 1970: 3.7626
Client 1844: 3.6447
Client 1167: 3.5166
Client 943: 3.8923
Client 351: 3.2764
Client 1695: 3.4139
Client 1777: 3.8899
Client 1781: 3.6425
Client 1994: 3.5498
Client 1597: 3.7708
Client 1441: 3.5910
Client 1275: 3.3440
Client 1042: 4.3161
Client 76: 3.9051
Client 774: 3.6647
Client 410: 3.6132
Client 710: 3.4864
Client 202: 3.6773
Client 421: 4.1835
Client 1174: 3.7598
Client 1380: 3.6518
Client 1836: 3.6233
Client 886: 3.2423
Client 1211: 3.4295
Client 397: 3.6921
Client 1008: 3.4706
Client 213: 3.9404
Client 1920: 3.1948
Client 1363: 3.7049
Client 798: 3.4795
Client 606: 3.7392
Client 1032: 3.5797
Client 1023: 3.4721
Client 35: 3.4854
Client 666: 3.9252
Client 1253: 3.6012
Client 1785: 3.4753
Client 823: 3.6546
Client 1842: 3.0399
Client 576: 3.3315
Client 37: 3.4802
Client 321: 3.5461
Client 411: 3.5004
Client 1756: 3.5841
Client 671: 3.9473
Client 1661: 3.4898
Client 1153: 3.6180
Client 1602: 3.7600
Client 276: 3.3619
Round avg loss: 3.6002 (Best: 3.6002)

--- Round 5/20 ---
Client 694: 3.3959
Client 879: 3.7822
Client 436: 3.9145
Client 545: 3.3570
Client 1381: 3.4226
Client 197: 3.1826
Client 1715: 3.8892
Client 776: 3.0693
Client 1909: 4.1056
Client 1121: 3.9234
Client 704: 3.2348
Client 1872: 3.9076
Client 1807: 3.2086
Client 1407: 4.0161
Client 1094: 3.8257
Client 992: 3.7187
Client 1572: 3.5308
Client 1090: 3.1521
Client 480: 4.0661
Client 133: 3.6167
Client 1485: 3.8912
Client 82: 3.3366
Client 173: 3.7184
Client 272: 3.7241
Client 347: 3.8917
Client 341: 3.6140
Client 1865: 3.6207
Client 1102: 3.1422
Client 548: 4.1681
Client 1554: 4.4791
Client 680: 3.5578
Client 1229: 3.8304
Client 1036: 3.3699
Client 1722: 3.3233
Client 522: 3.5276
Client 753: 3.6262
Client 693: 3.5092
Client 696: 3.4158
Client 233: 3.3178
Client 596: 3.4244
Client 481: 3.1500
Client 1776: 4.0598
Client 1933: 3.4776
Client 1236: 3.7237
Client 1596: 3.9651
Client 1954: 3.7543
Client 1464: 3.8605
Client 1817: 4.2296
Client 1001: 3.6467
Client 277: 4.3715
Client 1187: 3.4832
Client 1128: 4.0762
Client 1577: 3.3861
Client 213: 3.7522
Client 656: 3.4945
Client 80: 3.2318
Client 832: 3.5307
Client 149: 3.5205
Client 778: 4.6582
Client 1773: 3.7238
Client 1614: 3.9540
Client 301: 3.6463
Client 1696: 3.7949
Client 256: 3.4039
Client 698: 3.3683
Client 234: 4.0729
Client 1259: 3.3027
Client 1203: 3.1187
Client 1601: 3.6941
Client 1896: 3.9134
Client 774: 3.4603
Client 156: 3.7425
Client 1168: 3.7260
Client 1126: 3.5784
Client 458: 2.8389
Client 1159: 3.6807
Client 167: 2.9945
Client 1950: 3.1558
Client 546: 3.5029
Client 747: 3.9472
Client 1824: 3.6669
Client 605: 3.9099
Client 1155: 3.8465
Client 1894: 3.6440
Client 937: 3.8171
Client 1836: 3.4265
Client 567: 3.7098
Client 220: 3.6376
Client 1611: 3.8295
Client 93: 3.5166
Client 1695: 3.1633
Client 25: 2.9059
Client 1256: 3.8733
Client 1373: 3.5158
Client 29: 3.1306
Client 187: 3.2956
Client 846: 3.2459
Client 235: 3.8630
Client 1691: 3.6609
Client 1812: 4.1147
Round avg loss: 3.6257 (Best: 3.6002)

--- Round 6/20 ---
Client 1617: 3.2567
Client 81: 3.2949
Client 384: 3.8687
Client 490: 3.5689
Client 1608: 3.8420
Client 1201: 3.4080
Client 862: 3.3859
Client 331: 3.2504
Client 236: 3.6176
Client 923: 3.6715
Client 342: 3.8159
Client 1394: 3.9535
Client 494: 4.1696
Client 325: 3.8699
Client 1523: 2.4527
Client 1730: 3.5104
Client 210: 3.4925
Client 891: 3.4099
Client 1865: 3.3817
Client 1975: 3.4049
Client 774: 3.2475
Client 1651: 3.5805
Client 1987: 3.7994
Client 1111: 4.0008
Client 1862: 4.2089
Client 1675: 3.6222
Client 602: 3.6917
Client 1126: 3.3516
Client 518: 3.0405
Client 1457: 3.2964
Client 976: 3.7615
Client 644: 3.6133
Client 205: 3.3681
Client 425: 4.0281
Client 1335: 3.0194
Client 650: 3.8743
Client 55: 3.1880
Client 21: 3.5341
Client 1611: 3.6373
Client 1895: 3.5907
Client 605: 3.6570
Client 1487: 3.7251
Client 1221: 3.4825
Client 655: 4.0505
Client 921: 3.5643
Client 801: 3.6964
Client 641: 4.1371
Client 816: 3.9125
Client 128: 3.0337
Client 131: 3.2849
Client 1870: 3.5898
Client 649: 4.1087
Client 1986: 3.2454
Client 1231: 3.4812
Client 933: 3.5197
Client 228: 3.4768
Client 512: 4.1617
Client 440: 3.3240
Client 1607: 3.7923
Client 1265: 3.8615
Client 1593: 3.6849
Client 1825: 3.8220
Client 1776: 3.8090
Client 1409: 3.7368
Client 960: 4.2887
Client 1355: 3.4661
Client 728: 3.3992
Client 530: 3.2681
Client 375: 3.2178
Client 1109: 4.0041
Client 629: 3.7656
Client 407: 3.6658
Client 504: 3.9177
Client 738: 3.7017
Client 166: 3.4442
Client 1679: 3.6155
Client 575: 3.8506
Client 183: 3.1531
Client 1542: 3.7864
Client 917: 3.9517
Client 185: 3.5463
Client 1176: 3.1613
Client 1317: 4.1011
Client 694: 3.1420
Client 1926: 3.7767
Client 465: 3.4627
Client 799: 3.7149
Client 1979: 4.2439
Client 628: 3.4711
Client 84: 3.5382
Client 670: 3.4084
Client 382: 3.2398
Client 648: 3.6163
Client 1623: 3.8538
Client 1734: 3.7950
Client 1185: 3.0189
Client 1829: 3.2774
Client 1886: 3.6558
Client 620: 3.4398
Client 503: 3.8446
Round avg loss: 3.6004 (Best: 3.6002)

--- Round 7/20 ---
Client 684: 3.5550
Client 206: 3.6191
Client 1114: 3.5015
Client 1252: 3.9030
Client 1185: 2.7754
Client 1653: 3.7449
Client 1220: 3.0487
Client 188: 3.8618
Client 501: 3.8645
Client 450: 4.1478
Client 41: 4.0516
Client 1655: 3.6839
Client 499: 3.3028
Client 822: 3.4163
Client 148: 3.5287
Client 548: 3.9514
Client 1128: 3.9018
Client 1776: 3.6246
Client 145: 3.6652
Client 1493: 3.5966
Client 153: 3.6569
Client 44: 3.6460
Client 1301: 3.5174
Client 20: 3.6118
Client 595: 4.0437
Client 1537: 3.7970
Client 1622: 3.6114
Client 735: 3.5971
Client 1010: 3.9315
Client 960: 4.0913
Client 1766: 3.3414
Client 1759: 3.6746
Client 315: 3.6325
Client 1026: 3.6289
Client 1592: 3.4842
Client 1628: 3.2965
Client 671: 3.7267
Client 157: 3.5444
Client 1042: 4.1018
Client 1944: 3.7269
Client 1362: 3.8679
Client 354: 3.4415
Client 367: 3.2927
Client 1589: 3.8094
Client 306: 3.6701
Client 289: 4.1739
Client 1682: 3.5197
Client 1772: 3.8872
Client 654: 3.6863
Client 625: 3.4451
Client 218: 3.7363
Client 1452: 3.9433
Client 1053: 3.6855
Client 1709: 3.5070
Client 1882: 3.7617
Client 1232: 3.9910
Client 601: 3.1589
Client 258: 3.3176
Client 1830: 3.4942
Client 423: 3.4401
Client 290: 3.6564
Client 1117: 3.7779
Client 1864: 3.2765
Client 1479: 3.8469
Client 65: 3.3418
Client 1596: 3.7491
Client 647: 3.6430
Client 1681: 3.2250
Client 1849: 3.4731
Client 1276: 3.5066
Client 1646: 3.9344
Client 1376: 4.0538
Client 1857: 3.5525
Client 1132: 3.5937
Client 1721: 3.8838
Client 1932: 3.3031
Client 1528: 4.2117
Client 1412: 3.6342
Client 420: 3.5207
Client 364: 3.6932
Client 612: 3.5700
Client 886: 3.0994
Client 1100: 3.9080
Client 323: 3.4693
Client 99: 4.0122
Client 1463: 4.0173
Client 1765: 3.8575
Client 1367: 3.8135
Client 506: 3.7382
Client 517: 3.6110
Client 131: 3.0556
Client 1396: 3.5049
Client 1973: 3.7807
Client 914: 3.5383
Client 880: 3.3537
Client 1124: 3.8675
Client 512: 3.9206
Client 1108: 3.0448
Client 899: 3.5629
Client 1743: 3.3883
Round avg loss: 3.6423 (Best: 3.6002)

--- Round 8/20 ---
Client 1101: 3.2475
Client 928: 4.1895
Client 22: 3.8279
Client 810: 3.7781
Client 1712: 4.0654
Client 693: 3.2861
Client 351: 3.1122
Client 528: 3.5188
Client 994: 3.8337
Client 49: 3.8115
Client 1624: 3.3357
Client 1323: 3.1985
Client 1910: 3.3974
Client 853: 3.9323
Client 1999: 4.9845
Client 1168: 3.5213
Client 38: 2.7747
Client 127: 2.4512
Client 1416: 3.5638
Client 726: 4.0218
Client 1187: 3.2896
Client 283: 3.8755
Client 1215: 3.2430
Client 256: 3.2312
Client 530: 3.0453
Client 1697: 3.9972
Client 567: 3.4592
Client 814: 3.9120
Client 1155: 3.5728
Client 821: 3.7037
Client 352: 3.2181
Client 1254: 3.5028
Client 182: 4.0394
Client 478: 3.7445
Client 995: 3.1435
Client 15: 3.6902
Client 363: 3.4082
Client 1082: 3.2784
Client 649: 3.9064
Client 1025: 3.8986
Client 1828: 3.1086
Client 1328: 2.9920
Client 1885: 3.6373
Client 897: 3.5116
Client 1904: 3.6591
Client 1405: 3.9122
Client 1308: 3.4877
Client 1497: 3.8476
Client 462: 3.6796
Client 488: 3.8230
Client 640: 3.3816
Client 1013: 3.8716
Client 1406: 3.7223
Client 980: 3.9405
Client 1958: 3.5795
Client 460: 3.5557
Client 1459: 3.5582
Client 844: 3.8740
Client 690: 3.2748
Client 1147: 3.0602
Client 1251: 3.7495
Client 1857: 3.3555
Client 1491: 3.7602
Client 1879: 3.5225
Client 1338: 3.3483
Client 563: 3.8474
Client 1991: 4.1094
Client 449: 4.1740
Client 98: 3.5015
Client 1887: 3.1415
Client 146: 3.3185
Client 1563: 4.2133
Client 1047: 3.9993
Client 1321: 3.4047
Client 1796: 3.9215
Client 755: 3.9454
Client 326: 3.4196
Client 1568: 3.6530
Client 1622: 3.4219
Client 1808: 3.5391
Client 417: 3.8487
Client 638: 3.9601
Client 611: 3.5657
Client 1418: 3.6548
Client 613: 3.6844
Client 1738: 3.9684
Client 1131: 3.3345
Client 761: 3.3686
Client 338: 3.7237
Client 1436: 4.0182
Client 1508: 3.4907
Client 951: 3.6753
Client 1217: 3.3312
Client 174: 3.3322
Client 1753: 3.6661
Client 252: 4.1999
Client 1836: 3.2267
Client 1241: 3.8425
Client 1966: 3.7903
Client 1052: 3.4771
Round avg loss: 3.6099 (Best: 3.6002)

--- Round 9/20 ---
Client 1169: 3.7094
Client 772: 3.7249
Client 361: 3.5578
Client 319: 3.8279
Client 513: 3.7867
Client 873: 3.1777
Client 445: 3.3412
Client 1928: 3.8305
Client 1166: 3.3920
Client 1473: 3.6053
Client 1551: 3.6210
Client 1602: 3.5582
Client 106: 3.6998
Client 1013: 3.6413
Client 1395: 3.3139
Client 806: 3.1744
Client 1468: 3.9084
Client 1304: 3.9703
Client 712: 3.8596
Client 786: 3.3568
Client 1054: 3.7754
Client 1731: 3.3802
Client 337: 3.9054
Client 1114: 3.2409
Client 1494: 3.6575
Client 83: 3.2991
Client 1073: 3.7975
Client 185: 3.2910
Client 1654: 3.6892
Client 522: 3.3770
Client 1287: 3.5648
Client 206: 3.3924
Client 547: 3.6643
Client 1509: 3.7365
Client 1869: 3.1541
Client 171: 3.7393
Client 1964: 3.4892
Client 1996: 2.9784
Client 284: 3.7905
Client 1984: 2.8491
Client 1588: 2.9436
Client 1263: 3.8071
Client 1724: 3.4620
Client 1980: 3.2246
Client 1351: 3.6016
Client 1406: 3.4538
Client 1434: 3.4010
Client 167: 2.7471
Client 911: 3.5941
Client 1742: 4.0245
Client 1892: 3.2924
Client 493: 3.4841
Client 1989: 4.2311
Client 783: 3.4963
Client 1925: 3.6159
Client 1643: 3.7187
Client 1850: 3.4222
Client 886: 2.9442
Client 813: 3.6963
Client 1863: 3.5057
Client 666: 3.6745
Client 897: 3.2909
Client 258: 3.1074
Client 1274: 3.5397
Client 1861: 4.0140
Client 999: 3.4254
Client 434: 2.9793
Client 244: 3.9441
Client 883: 3.7648
Client 1230: 3.5803
Client 1093: 4.3959
Client 836: 3.7963
Client 1862: 4.0023
Client 241: 3.7342
Client 1352: 3.8339
